waveform	Ch0		Gen	
t0	3/4/2022  15:13:00.415976		3/4/2022  15:13:00.415986	
delta t	2.000000E-5		2.000000E-5	

time[0]	Ch0	time[1]	Gen
3/4/2022  15:13:00.415976	-1.121655E-3	3/4/2022  15:13:00.415986	-3.925336E-3
3/4/2022  15:13:00.415996	7.494535E-3	3/4/2022  15:13:00.416006	-3.856954E-3
3/4/2022  15:13:00.416016	1.317028E-2	3/4/2022  15:13:00.416026	-3.856954E-3
3/4/2022  15:13:00.416036	1.570043E-2	3/4/2022  15:13:00.416046	-3.993718E-3
3/4/2022  15:13:00.416056	1.761514E-2	3/4/2022  15:13:00.416066	-3.788571E-3
3/4/2022  15:13:00.416076	1.918794E-2	3/4/2022  15:13:00.416086	-3.993718E-3
3/4/2022  15:13:00.416096	1.959823E-2	3/4/2022  15:13:00.416106	-4.062101E-3
3/4/2022  15:13:00.416116	2.000853E-2	3/4/2022  15:13:00.416126	-4.130483E-3
3/4/2022  15:13:00.416136	2.055559E-2	3/4/2022  15:13:00.416146	-3.925336E-3
3/4/2022  15:13:00.416156	2.028206E-2	3/4/2022  15:13:00.416166	-4.062101E-3
3/4/2022  15:13:00.416176	2.041882E-2	3/4/2022  15:13:00.416186	-3.925336E-3
3/4/2022  15:13:00.416196	2.055559E-2	3/4/2022  15:13:00.416206	-3.788571E-3
3/4/2022  15:13:00.416216	2.069235E-2	3/4/2022  15:13:00.416226	-3.788571E-3
3/4/2022  15:13:00.416236	2.014529E-2	3/4/2022  15:13:00.416246	-4.062101E-3
3/4/2022  15:13:00.416256	2.069235E-2	3/4/2022  15:13:00.416266	-4.062101E-3
3/4/2022  15:13:00.416276	2.082912E-2	3/4/2022  15:13:00.416286	-3.993718E-3
3/4/2022  15:13:00.416296	2.035044E-2	3/4/2022  15:13:00.416306	-3.788571E-3
3/4/2022  15:13:00.416316	2.082912E-2	3/4/2022  15:13:00.416326	-3.993718E-3
3/4/2022  15:13:00.416336	2.035044E-2	3/4/2022  15:13:00.416346	-4.198866E-3
3/4/2022  15:13:00.416356	2.062397E-2	3/4/2022  15:13:00.416366	-3.925336E-3
3/4/2022  15:13:00.416376	2.069235E-2	3/4/2022  15:13:00.416386	-4.062101E-3
3/4/2022  15:13:00.416396	2.062397E-2	3/4/2022  15:13:00.416406	-3.993718E-3
3/4/2022  15:13:00.416416	2.110265E-2	3/4/2022  15:13:00.416426	-4.062101E-3
