waveform	Ch0		Gen	
t0	3/4/2022  14:51:44.116735		3/4/2022  14:51:44.116745	
delta t	2.000000E-5		2.000000E-5	

time[0]	Ch0	time[1]	Gen
3/4/2022  14:51:44.116735	-7.207694E-3	3/4/2022  14:51:44.116745	-1.849080E-2
3/4/2022  14:51:44.116755	6.562890E-4	3/4/2022  14:51:44.116765	-1.910624E-2
3/4/2022  14:51:44.116775	6.195268E-3	3/4/2022  14:51:44.116785	-1.999521E-2
3/4/2022  14:51:44.116795	8.109977E-3	3/4/2022  14:51:44.116805	-2.061066E-2
3/4/2022  14:51:44.116815	9.887921E-3	3/4/2022  14:51:44.116825	-2.129448E-2
3/4/2022  14:51:44.116835	1.077689E-2	3/4/2022  14:51:44.116845	-2.177316E-2
3/4/2022  14:51:44.116855	1.159748E-2	3/4/2022  14:51:44.116865	-2.204669E-2
3/4/2022  14:51:44.116875	1.159748E-2	3/4/2022  14:51:44.116885	-2.279890E-2
3/4/2022  14:51:44.116895	1.214454E-2	3/4/2022  14:51:44.116905	-2.286728E-2
3/4/2022  14:51:44.116915	1.214454E-2	3/4/2022  14:51:44.116925	-2.307243E-2
3/4/2022  14:51:44.116935	1.166587E-2	3/4/2022  14:51:44.116945	-2.334596E-2
3/4/2022  14:51:44.116955	1.200778E-2	3/4/2022  14:51:44.116965	-2.348272E-2
3/4/2022  14:51:44.116975	1.214454E-2	3/4/2022  14:51:44.116985	-2.334596E-2
3/4/2022  14:51:44.116995	1.228131E-2	3/4/2022  14:51:44.117005	-2.368787E-2
3/4/2022  14:51:44.117015	1.221293E-2	3/4/2022  14:51:44.117025	-2.334596E-2
3/4/2022  14:51:44.117035	1.221293E-2	3/4/2022  14:51:44.117045	-2.368787E-2
3/4/2022  14:51:44.117055	1.207616E-2	3/4/2022  14:51:44.117065	-2.355110E-2
3/4/2022  14:51:44.117075	1.234969E-2	3/4/2022  14:51:44.117085	-2.348272E-2
3/4/2022  14:51:44.117095	1.214454E-2	3/4/2022  14:51:44.117105	-2.314081E-2
3/4/2022  14:51:44.117115	1.248645E-2	3/4/2022  14:51:44.117125	-2.286728E-2
3/4/2022  14:51:44.117135	1.180263E-2	3/4/2022  14:51:44.117145	-2.266213E-2
3/4/2022  14:51:44.117155	1.234969E-2	3/4/2022  14:51:44.117165	-2.266213E-2
3/4/2022  14:51:44.117175	1.248645E-2	3/4/2022  14:51:44.117185	-2.245698E-2
3/4/2022  14:51:44.117195	1.248645E-2	3/4/2022  14:51:44.117205	-2.204669E-2
3/4/2022  14:51:44.117215	1.200778E-2	3/4/2022  14:51:44.117225	-2.170478E-2
3/4/2022  14:51:44.117235	1.214454E-2	3/4/2022  14:51:44.117245	-2.170478E-2
3/4/2022  14:51:44.117255	1.241807E-2	3/4/2022  14:51:44.117265	-2.102095E-2
3/4/2022  14:51:44.117275	1.221293E-2	3/4/2022  14:51:44.117285	-2.061066E-2
3/4/2022  14:51:44.117295	1.228131E-2	3/4/2022  14:51:44.117305	-2.033713E-2
3/4/2022  14:51:44.117315	1.159748E-2	3/4/2022  14:51:44.117325	-1.972168E-2
3/4/2022  14:51:44.117335	1.255484E-2	3/4/2022  14:51:44.117345	-1.951654E-2
3/4/2022  14:51:44.117355	1.214454E-2	3/4/2022  14:51:44.117365	-1.903786E-2
3/4/2022  14:51:44.117375	1.214454E-2	3/4/2022  14:51:44.117385	-1.855918E-2
3/4/2022  14:51:44.117395	1.214454E-2	3/4/2022  14:51:44.117405	-1.814889E-2
3/4/2022  14:51:44.117415	1.180263E-2	3/4/2022  14:51:44.117425	-1.767021E-2
3/4/2022  14:51:44.117435	1.207616E-2	3/4/2022  14:51:44.117445	-1.698639E-2
3/4/2022  14:51:44.117455	1.207616E-2	3/4/2022  14:51:44.117465	-1.684962E-2
3/4/2022  14:51:44.117475	1.207616E-2	3/4/2022  14:51:44.117485	-1.637094E-2
3/4/2022  14:51:44.117495	1.241807E-2	3/4/2022  14:51:44.117505	-1.568712E-2
3/4/2022  14:51:44.117515	1.241807E-2	3/4/2022  14:51:44.117525	-1.534521E-2
3/4/2022  14:51:44.117535	1.200778E-2	3/4/2022  14:51:44.117545	-1.493491E-2
3/4/2022  14:51:44.117555	1.275998E-2	3/4/2022  14:51:44.117565	-1.438785E-2
3/4/2022  14:51:44.117575	1.234969E-2	3/4/2022  14:51:44.117585	-1.411432E-2
3/4/2022  14:51:44.117595	1.200778E-2	3/4/2022  14:51:44.117605	-1.349888E-2
3/4/2022  14:51:44.117615	1.207616E-2	3/4/2022  14:51:44.117625	-1.329373E-2
3/4/2022  14:51:44.117635	1.193940E-2	3/4/2022  14:51:44.117645	-1.254153E-2
3/4/2022  14:51:44.117655	1.187101E-2	3/4/2022  14:51:44.117665	-1.240476E-2
3/4/2022  14:51:44.117675	1.193940E-2	3/4/2022  14:51:44.117685	-1.172094E-2
3/4/2022  14:51:44.117695	1.241807E-2	3/4/2022  14:51:44.117705	-1.124226E-2
3/4/2022  14:51:44.117715	1.228131E-2	3/4/2022  14:51:44.117725	-1.083196E-2
3/4/2022  14:51:44.117735	1.214454E-2	3/4/2022  14:51:44.117745	-1.028490E-2
3/4/2022  14:51:44.117755	1.187101E-2	3/4/2022  14:51:44.117765	-9.874610E-3
3/4/2022  14:51:44.117775	1.187101E-2	3/4/2022  14:51:44.117785	-9.601080E-3
3/4/2022  14:51:44.117795	1.221293E-2	3/4/2022  14:51:44.117805	-9.190786E-3
3/4/2022  14:51:44.117815	1.234969E-2	3/4/2022  14:51:44.117825	-8.643726E-3
3/4/2022  14:51:44.117835	1.200778E-2	3/4/2022  14:51:44.117845	-8.575343E-3
3/4/2022  14:51:44.117855	1.214454E-2	3/4/2022  14:51:44.117865	-8.028284E-3
3/4/2022  14:51:44.117875	1.193940E-2	3/4/2022  14:51:44.117885	-7.754754E-3
3/4/2022  14:51:44.117895	1.200778E-2	3/4/2022  14:51:44.117905	-7.344459E-3
3/4/2022  14:51:44.117915	1.173425E-2	3/4/2022  14:51:44.117925	-7.002547E-3
3/4/2022  14:51:44.117935	1.234969E-2	3/4/2022  14:51:44.117945	-6.729017E-3
3/4/2022  14:51:44.117955	1.193940E-2	3/4/2022  14:51:44.117965	-6.250340E-3
3/4/2022  14:51:44.117975	1.173425E-2	3/4/2022  14:51:44.117985	-6.181957E-3
3/4/2022  14:51:44.117995	1.173425E-2	3/4/2022  14:51:44.118005	-5.703280E-3
3/4/2022  14:51:44.118015	1.262322E-2	3/4/2022  14:51:44.118025	-5.566515E-3
3/4/2022  14:51:44.118035	1.221293E-2	3/4/2022  14:51:44.118045	-5.019455E-3
3/4/2022  14:51:44.118055	1.200778E-2	3/4/2022  14:51:44.118065	-4.951073E-3
3/4/2022  14:51:44.118075	1.241807E-2	3/4/2022  14:51:44.118085	-4.814308E-3
3/4/2022  14:51:44.118095	1.234969E-2	3/4/2022  14:51:44.118105	-4.472396E-3
3/4/2022  14:51:44.118115	1.187101E-2	3/4/2022  14:51:44.118125	-4.267248E-3
3/4/2022  14:51:44.118135	1.193940E-2	3/4/2022  14:51:44.118145	-3.788571E-3
3/4/2022  14:51:44.118155	1.221293E-2	3/4/2022  14:51:44.118165	-3.788571E-3
3/4/2022  14:51:44.118175	1.228131E-2	3/4/2022  14:51:44.118185	-3.446659E-3
3/4/2022  14:51:44.118195	1.207616E-2	3/4/2022  14:51:44.118205	-3.446659E-3
3/4/2022  14:51:44.118215	1.207616E-2	3/4/2022  14:51:44.118225	-3.241511E-3
3/4/2022  14:51:44.118235	1.303351E-2	3/4/2022  14:51:44.118245	-3.241511E-3
3/4/2022  14:51:44.118255	1.200778E-2	3/4/2022  14:51:44.118265	-2.899599E-3
3/4/2022  14:51:44.118275	1.255484E-2	3/4/2022  14:51:44.118285	-2.694452E-3
3/4/2022  14:51:44.118295	1.234969E-2	3/4/2022  14:51:44.118305	-2.557687E-3
3/4/2022  14:51:44.118315	1.221293E-2	3/4/2022  14:51:44.118325	-2.420922E-3
3/4/2022  14:51:44.118335	1.193940E-2	3/4/2022  14:51:44.118345	-2.352539E-3
3/4/2022  14:51:44.118355	1.228131E-2	3/4/2022  14:51:44.118365	-2.420922E-3
3/4/2022  14:51:44.118375	1.221293E-2	3/4/2022  14:51:44.118385	-2.284157E-3
3/4/2022  14:51:44.118395	1.214454E-2	3/4/2022  14:51:44.118405	-2.079010E-3
3/4/2022  14:51:44.118415	1.228131E-2	3/4/2022  14:51:44.118425	-2.010627E-3
3/4/2022  14:51:44.118435	1.193940E-2	3/4/2022  14:51:44.118445	-1.668715E-3
3/4/2022  14:51:44.118455	1.255484E-2	3/4/2022  14:51:44.118465	-1.668715E-3
3/4/2022  14:51:44.118475	1.214454E-2	3/4/2022  14:51:44.118485	-1.668715E-3
3/4/2022  14:51:44.118495	1.200778E-2	3/4/2022  14:51:44.118505	-1.873862E-3
3/4/2022  14:51:44.118515	1.234969E-2	3/4/2022  14:51:44.118525	-1.668715E-3
3/4/2022  14:51:44.118535	1.187101E-2	3/4/2022  14:51:44.118545	-1.600332E-3
3/4/2022  14:51:44.118555	1.248645E-2	3/4/2022  14:51:44.118565	-1.463567E-3
3/4/2022  14:51:44.118575	1.207616E-2	3/4/2022  14:51:44.118585	-1.531950E-3
3/4/2022  14:51:44.118595	1.193940E-2	3/4/2022  14:51:44.118605	-1.463567E-3
3/4/2022  14:51:44.118615	1.234969E-2	3/4/2022  14:51:44.118625	-1.531950E-3
3/4/2022  14:51:44.118635	1.248645E-2	3/4/2022  14:51:44.118645	-1.463567E-3
3/4/2022  14:51:44.118655	1.221293E-2	3/4/2022  14:51:44.118665	-1.395185E-3
3/4/2022  14:51:44.118675	1.207616E-2	3/4/2022  14:51:44.118685	-1.463567E-3
3/4/2022  14:51:44.118695	1.193940E-2	3/4/2022  14:51:44.118705	-1.463567E-3
3/4/2022  14:51:44.118715	1.200778E-2	3/4/2022  14:51:44.118725	-1.326802E-3
3/4/2022  14:51:44.118735	1.166587E-2	3/4/2022  14:51:44.118745	-1.463567E-3
3/4/2022  14:51:44.118755	1.200778E-2	3/4/2022  14:51:44.118765	-1.326802E-3
3/4/2022  14:51:44.118775	1.228131E-2	3/4/2022  14:51:44.118785	-1.463567E-3
3/4/2022  14:51:44.118795	1.214454E-2	3/4/2022  14:51:44.118805	-1.600332E-3
3/4/2022  14:51:44.118815	1.262322E-2	3/4/2022  14:51:44.118825	-1.600332E-3
3/4/2022  14:51:44.118835	1.241807E-2	3/4/2022  14:51:44.118845	-1.395185E-3
3/4/2022  14:51:44.118855	1.207616E-2	3/4/2022  14:51:44.118865	-1.600332E-3
3/4/2022  14:51:44.118875	1.221293E-2	3/4/2022  14:51:44.118885	-1.600332E-3
3/4/2022  14:51:44.118895	1.234969E-2	3/4/2022  14:51:44.118905	-1.668715E-3
3/4/2022  14:51:44.118915	1.180263E-2	3/4/2022  14:51:44.118925	-1.668715E-3
3/4/2022  14:51:44.118935	1.248645E-2	3/4/2022  14:51:44.118945	-1.737097E-3
3/4/2022  14:51:44.118955	1.228131E-2	3/4/2022  14:51:44.118965	-1.805480E-3
3/4/2022  14:51:44.118975	1.200778E-2	3/4/2022  14:51:44.118985	-1.668715E-3
3/4/2022  14:51:44.118995	1.180263E-2	3/4/2022  14:51:44.119005	-1.873862E-3
3/4/2022  14:51:44.119015	1.200778E-2	3/4/2022  14:51:44.119025	-2.010627E-3
3/4/2022  14:51:44.119035	1.234969E-2	3/4/2022  14:51:44.119045	-1.805480E-3
3/4/2022  14:51:44.119055	1.221293E-2	3/4/2022  14:51:44.119065	-2.010627E-3
3/4/2022  14:51:44.119075	1.173425E-2	3/4/2022  14:51:44.119085	-1.873862E-3
3/4/2022  14:51:44.119095	1.187101E-2	3/4/2022  14:51:44.119105	-2.215774E-3
3/4/2022  14:51:44.119115	1.221293E-2	3/4/2022  14:51:44.119125	-1.942245E-3
3/4/2022  14:51:44.119135	1.234969E-2	3/4/2022  14:51:44.119145	-2.079010E-3
3/4/2022  14:51:44.119155	1.180263E-2	3/4/2022  14:51:44.119165	-2.215774E-3
3/4/2022  14:51:44.119175	1.241807E-2	3/4/2022  14:51:44.119185	-2.215774E-3
3/4/2022  14:51:44.119195	1.193940E-2	3/4/2022  14:51:44.119205	-2.215774E-3
3/4/2022  14:51:44.119215	1.241807E-2	3/4/2022  14:51:44.119225	-2.147392E-3
3/4/2022  14:51:44.119235	1.214454E-2	3/4/2022  14:51:44.119245	-2.352539E-3
3/4/2022  14:51:44.119255	1.234969E-2	3/4/2022  14:51:44.119265	-2.420922E-3
3/4/2022  14:51:44.119275	1.166587E-2	3/4/2022  14:51:44.119285	-2.420922E-3
3/4/2022  14:51:44.119295	1.275998E-2	3/4/2022  14:51:44.119305	-2.420922E-3
3/4/2022  14:51:44.119315	1.200778E-2	3/4/2022  14:51:44.119325	-2.489304E-3
3/4/2022  14:51:44.119335	1.214454E-2	3/4/2022  14:51:44.119345	-2.694452E-3
3/4/2022  14:51:44.119355	1.146072E-2	3/4/2022  14:51:44.119365	-2.557687E-3
3/4/2022  14:51:44.119375	1.159748E-2	3/4/2022  14:51:44.119385	-2.489304E-3
3/4/2022  14:51:44.119395	1.221293E-2	3/4/2022  14:51:44.119405	-2.762834E-3
3/4/2022  14:51:44.119415	1.234969E-2	3/4/2022  14:51:44.119425	-2.557687E-3
3/4/2022  14:51:44.119435	1.193940E-2	3/4/2022  14:51:44.119445	-2.694452E-3
3/4/2022  14:51:44.119455	1.207616E-2	3/4/2022  14:51:44.119465	-2.831217E-3
3/4/2022  14:51:44.119475	1.255484E-2	3/4/2022  14:51:44.119485	-2.899599E-3
3/4/2022  14:51:44.119495	1.193940E-2	3/4/2022  14:51:44.119505	-2.899599E-3
3/4/2022  14:51:44.119515	1.248645E-2	3/4/2022  14:51:44.119525	-2.831217E-3
3/4/2022  14:51:44.119535	1.234969E-2	3/4/2022  14:51:44.119545	-2.899599E-3
3/4/2022  14:51:44.119555	1.214454E-2	3/4/2022  14:51:44.119565	-2.762834E-3
3/4/2022  14:51:44.119575	1.248645E-2	3/4/2022  14:51:44.119585	-2.831217E-3
3/4/2022  14:51:44.119595	1.248645E-2	3/4/2022  14:51:44.119605	-3.104746E-3
3/4/2022  14:51:44.119615	1.207616E-2	3/4/2022  14:51:44.119625	-2.899599E-3
3/4/2022  14:51:44.119635	1.228131E-2	3/4/2022  14:51:44.119645	-3.104746E-3
3/4/2022  14:51:44.119655	1.234969E-2	3/4/2022  14:51:44.119665	-3.173129E-3
3/4/2022  14:51:44.119675	1.187101E-2	3/4/2022  14:51:44.119685	-3.104746E-3
3/4/2022  14:51:44.119695	1.187101E-2	3/4/2022  14:51:44.119705	-3.309894E-3
3/4/2022  14:51:44.119715	1.234969E-2	3/4/2022  14:51:44.119725	-3.446659E-3
3/4/2022  14:51:44.119735	1.200778E-2	3/4/2022  14:51:44.119745	-3.378276E-3
3/4/2022  14:51:44.119755	1.228131E-2	3/4/2022  14:51:44.119765	-3.309894E-3
3/4/2022  14:51:44.119775	1.180263E-2	3/4/2022  14:51:44.119785	-3.309894E-3
3/4/2022  14:51:44.119795	1.234969E-2	3/4/2022  14:51:44.119805	-3.583424E-3
3/4/2022  14:51:44.119815	1.200778E-2	3/4/2022  14:51:44.119825	-3.515041E-3
3/4/2022  14:51:44.119835	1.234969E-2	3/4/2022  14:51:44.119845	-3.446659E-3
3/4/2022  14:51:44.119855	1.159748E-2	3/4/2022  14:51:44.119865	-3.378276E-3
3/4/2022  14:51:44.119875	1.228131E-2	3/4/2022  14:51:44.119885	-3.446659E-3
3/4/2022  14:51:44.119895	1.269160E-2	3/4/2022  14:51:44.119905	-3.446659E-3
3/4/2022  14:51:44.119915	1.193940E-2	3/4/2022  14:51:44.119925	-3.515041E-3
3/4/2022  14:51:44.119935	1.248645E-2	3/4/2022  14:51:44.119945	-3.241511E-3
3/4/2022  14:51:44.119955	1.173425E-2	3/4/2022  14:51:44.119965	-3.720189E-3
3/4/2022  14:51:44.119975	1.200778E-2	3/4/2022  14:51:44.119985	-3.515041E-3
3/4/2022  14:51:44.119995	1.221293E-2	3/4/2022  14:51:44.120005	-3.515041E-3
3/4/2022  14:51:44.120015	1.180263E-2	3/4/2022  14:51:44.120025	-3.583424E-3
3/4/2022  14:51:44.120035	1.180263E-2	3/4/2022  14:51:44.120045	-3.788571E-3
3/4/2022  14:51:44.120055	1.193940E-2	3/4/2022  14:51:44.120065	-3.515041E-3
3/4/2022  14:51:44.120075	1.207616E-2	3/4/2022  14:51:44.120085	-3.515041E-3
3/4/2022  14:51:44.120095	1.275998E-2	3/4/2022  14:51:44.120105	-3.378276E-3
3/4/2022  14:51:44.120115	1.221293E-2	3/4/2022  14:51:44.120125	-3.720189E-3
3/4/2022  14:51:44.120135	1.214454E-2	3/4/2022  14:51:44.120145	-3.651806E-3
3/4/2022  14:51:44.120155	1.187101E-2	3/4/2022  14:51:44.120165	-3.378276E-3
3/4/2022  14:51:44.120175	1.234969E-2	3/4/2022  14:51:44.120185	-3.583424E-3
3/4/2022  14:51:44.120195	1.221293E-2	3/4/2022  14:51:44.120205	-3.720189E-3
3/4/2022  14:51:44.120215	1.234969E-2	3/4/2022  14:51:44.120225	-3.788571E-3
3/4/2022  14:51:44.120235	1.214454E-2	3/4/2022  14:51:44.120245	-3.515041E-3
3/4/2022  14:51:44.120255	1.248645E-2	3/4/2022  14:51:44.120265	-3.651806E-3
3/4/2022  14:51:44.120275	1.180263E-2	3/4/2022  14:51:44.120285	-3.378276E-3
3/4/2022  14:51:44.120295	1.214454E-2	3/4/2022  14:51:44.120305	-3.651806E-3
3/4/2022  14:51:44.120315	1.180263E-2	3/4/2022  14:51:44.120325	-3.583424E-3
3/4/2022  14:51:44.120335	1.653213E-1	3/4/2022  14:51:44.120345	-3.720189E-3
3/4/2022  14:51:44.120355	2.022478E-1	3/4/2022  14:51:44.120365	-3.173129E-3
3/4/2022  14:51:44.120375	2.051882E-1	3/4/2022  14:51:44.120385	-2.215774E-3
3/4/2022  14:51:44.120395	2.066243E-1	3/4/2022  14:51:44.120405	-1.053273E-3
3/4/2022  14:51:44.120415	2.078551E-1	3/4/2022  14:51:44.120425	5.879065E-4
3/4/2022  14:51:44.120435	2.090860E-1	3/4/2022  14:51:44.120445	2.502615E-3
3/4/2022  14:51:44.120455	2.094963E-1	3/4/2022  14:51:44.120465	4.554089E-3
3/4/2022  14:51:44.120475	2.099066E-1	3/4/2022  14:51:44.120485	7.084240E-3
3/4/2022  14:51:44.120495	2.097699E-1	3/4/2022  14:51:44.120505	9.887921E-3
3/4/2022  14:51:44.120515	2.100434E-1	3/4/2022  14:51:44.120525	1.275998E-2
3/4/2022  14:51:44.120535	2.103853E-1	3/4/2022  14:51:44.120545	1.597396E-2
3/4/2022  14:51:44.120555	2.104537E-1	3/4/2022  14:51:44.120565	1.946147E-2
3/4/2022  14:51:44.120575	2.102485E-1	3/4/2022  14:51:44.120585	2.288059E-2
3/4/2022  14:51:44.120595	2.109324E-1	3/4/2022  14:51:44.120605	2.684677E-2
3/4/2022  14:51:44.120615	2.110007E-1	3/4/2022  14:51:44.120625	3.088134E-2
3/4/2022  14:51:44.120635	2.108640E-1	3/4/2022  14:51:44.120645	3.471076E-2
3/4/2022  14:51:44.120655	2.107956E-1	3/4/2022  14:51:44.120665	3.895047E-2
3/4/2022  14:51:44.120675	2.110007E-1	3/4/2022  14:51:44.120685	4.325856E-2
3/4/2022  14:51:44.120695	2.109324E-1	3/4/2022  14:51:44.120705	4.790857E-2
3/4/2022  14:51:44.120715	2.102485E-1	3/4/2022  14:51:44.120725	5.207990E-2
3/4/2022  14:51:44.120735	2.110691E-1	3/4/2022  14:51:44.120745	5.625123E-2
3/4/2022  14:51:44.120755	2.106588E-1	3/4/2022  14:51:44.120765	6.103800E-2
3/4/2022  14:51:44.120775	2.100434E-1	3/4/2022  14:51:44.120785	6.582478E-2
3/4/2022  14:51:44.120795	2.105904E-1	3/4/2022  14:51:44.120805	7.026964E-2
3/4/2022  14:51:44.120815	2.107956E-1	3/4/2022  14:51:44.120825	7.498803E-2
3/4/2022  14:51:44.120835	2.107272E-1	3/4/2022  14:51:44.120845	7.956965E-2
3/4/2022  14:51:44.120855	2.107956E-1	3/4/2022  14:51:44.120865	8.421966E-2
3/4/2022  14:51:44.120875	2.105904E-1	3/4/2022  14:51:44.120885	8.873290E-2
3/4/2022  14:51:44.120895	2.110007E-1	3/4/2022  14:51:44.120905	9.338291E-2
3/4/2022  14:51:44.120915	2.106588E-1	3/4/2022  14:51:44.120925	9.789615E-2
3/4/2022  14:51:44.120935	2.103169E-1	3/4/2022  14:51:44.120945	1.026145E-1
3/4/2022  14:51:44.120955	2.109324E-1	3/4/2022  14:51:44.120965	1.069910E-1
3/4/2022  14:51:44.120975	2.109324E-1	3/4/2022  14:51:44.120985	1.115726E-1
3/4/2022  14:51:44.120995	2.103169E-1	3/4/2022  14:51:44.121005	1.159491E-1
3/4/2022  14:51:44.121015	2.107272E-1	3/4/2022  14:51:44.121025	1.202572E-1
3/4/2022  14:51:44.121035	2.104537E-1	3/4/2022  14:51:44.121045	1.247021E-1
3/4/2022  14:51:44.121055	2.107272E-1	3/4/2022  14:51:44.121065	1.284631E-1
3/4/2022  14:51:44.121075	2.107956E-1	3/4/2022  14:51:44.121085	1.324977E-1
3/4/2022  14:51:44.121095	2.107956E-1	3/4/2022  14:51:44.121105	1.366690E-1
3/4/2022  14:51:44.121115	2.107956E-1	3/4/2022  14:51:44.121125	1.407036E-1
3/4/2022  14:51:44.121135	2.105904E-1	3/4/2022  14:51:44.121145	1.443962E-1
3/4/2022  14:51:44.121155	2.107956E-1	3/4/2022  14:51:44.121165	1.481573E-1
