waveform	Ch0		Gen	
t0	3/4/2022  14:33:29.132696		3/4/2022  14:33:29.132700	
delta t	8.000000E-6		8.000000E-6	

time[0]	Ch0	time[1]	Gen
3/4/2022  14:33:29.132696	-1.016439E-1	3/4/2022  14:33:29.132700	-4.474967E-2
3/4/2022  14:33:29.132704	-8.030855E-2	3/4/2022  14:33:29.132708	-4.598055E-2
3/4/2022  14:33:29.132712	-7.278648E-2	3/4/2022  14:33:29.132716	-4.714305E-2
3/4/2022  14:33:29.132720	-7.128206E-2	3/4/2022  14:33:29.132724	-4.851070E-2
3/4/2022  14:33:29.132728	-7.005118E-2	3/4/2022  14:33:29.132732	-4.967320E-2
3/4/2022  14:33:29.132736	-6.977765E-2	3/4/2022  14:33:29.132740	-5.110923E-2
3/4/2022  14:33:29.132744	-6.929897E-2	3/4/2022  14:33:29.132748	-5.234012E-2
3/4/2022  14:33:29.132752	-6.950412E-2	3/4/2022  14:33:29.132756	-5.363939E-2
3/4/2022  14:33:29.132760	-7.005118E-2	3/4/2022  14:33:29.132764	-5.459674E-2
3/4/2022  14:33:29.132768	-6.957250E-2	3/4/2022  14:33:29.132772	-5.548571E-2
3/4/2022  14:33:29.132776	-6.998279E-2	3/4/2022  14:33:29.132780	-5.664821E-2
3/4/2022  14:33:29.132784	-7.005118E-2	3/4/2022  14:33:29.132788	-5.767395E-2
3/4/2022  14:33:29.132792	-6.929897E-2	3/4/2022  14:33:29.132796	-5.876807E-2
3/4/2022  14:33:29.132800	-7.018794E-2	3/4/2022  14:33:29.132804	-5.979381E-2
3/4/2022  14:33:29.132808	-6.950412E-2	3/4/2022  14:33:29.132812	-6.068278E-2
3/4/2022  14:33:29.132816	-6.977765E-2	3/4/2022  14:33:29.132820	-6.177690E-2
3/4/2022  14:33:29.132824	-6.943573E-2	3/4/2022  14:33:29.132828	-6.266587E-2
3/4/2022  14:33:29.132832	-6.936735E-2	3/4/2022  14:33:29.132836	-6.355484E-2
3/4/2022  14:33:29.132840	-7.018794E-2	3/4/2022  14:33:29.132844	-6.437543E-2
3/4/2022  14:33:29.132848	-6.950412E-2	3/4/2022  14:33:29.132852	-6.533279E-2
