3/4/2022	2:25 PM
Amplitude: 0.20 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
10.000	-0.003	-1.820
12.589	-0.003	-2.278
15.849	-0.006	-2.798
19.953	-0.010	-3.640
25.119	-0.012	-4.540
31.623	-0.020	-5.694
39.811	-0.032	-7.212
50.119	-0.050	-9.088
63.096	-0.080	-11.460
79.433	-0.127	-14.382
100.000	-0.199	-18.095
125.893	-0.313	-22.666
158.489	-0.494	-28.414
199.526	-0.774	-35.415
251.189	-1.207	-43.834
316.228	-1.865	-54.220
398.107	-2.843	-66.062
501.187	-4.223	-79.087
630.957	-6.071	-92.516
794.328	-8.419	-105.925
1000.000	-11.228	-118.056
1258.925	-14.379	-129.391
1584.893	-17.809	-138.746
1995.262	-21.440	-146.556
2511.886	-25.184	-152.834
3162.278	-29.019	-158.042
3981.072	-32.911	-161.943
5011.872	-36.803	-165.034
6309.573	-40.808	-167.868
7943.282	-44.751	-169.617
10000.000	-48.859	-167.258
