3/4/2022	2:49 PM
Amplitude: 0.20 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
10.000	0.002	-1.785
12.589	0.003	-2.252
15.849	0.005	-2.854
19.953	0.008	-3.611
25.119	0.013	-4.543
31.623	0.020	-5.751
39.811	0.032	-7.264
50.119	0.050	-9.193
63.096	0.078	-11.637
79.433	0.120	-14.786
100.000	0.183	-18.938
125.893	0.270	-24.327
158.489	0.374	-31.781
199.526	0.449	-41.910
251.189	0.332	-56.216
316.228	-0.373	-75.602
398.107	-2.197	-97.674
501.187	-5.216	-117.855
630.957	-8.946	-133.321
794.328	-12.967	-144.434
1000.000	-17.057	-152.073
1258.925	-21.116	-158.294
1584.893	-25.163	-162.653
1995.262	-29.209	-165.940
2511.886	-33.229	-168.520
3162.278	-37.243	-170.076
3981.072	-41.265	-171.758
5011.872	-45.266	-172.751
6309.573	-49.376	-173.568
7943.282	-53.447	-172.261
10000.000	-57.642	183.022
