	Ch0	Gen
	18:31.0	18:31.0
	4.00E-05	4.00E-05
		
Time	Ch0	Gen
0.02776	9.98E-01	4.44E-01
0.0278	9.97E-01	4.48E-01
0.02784	9.96E-01	4.52E-01
0.02788	9.97E-01	4.57E-01
0.02792	9.97E-01	4.62E-01
0.02796	9.97E-01	4.66E-01
0.028	9.97E-01	4.69E-01
0.02804	9.97E-01	4.73E-01
0.02808	9.97E-01	4.78E-01
0.02812	9.97E-01	4.82E-01
0.02816	9.97E-01	4.87E-01
0.0282	9.97E-01	4.91E-01
0.02824	9.97E-01	4.95E-01
0.02828	9.97E-01	4.99E-01
0.02832	9.97E-01	5.02E-01
0.02836	9.97E-01	5.06E-01
0.0284	9.97E-01	5.11E-01
0.02844	9.97E-01	5.14E-01
0.02848	9.97E-01	5.18E-01
0.02852	9.97E-01	5.22E-01
0.02856	9.97E-01	5.26E-01
0.0286	9.97E-01	5.30E-01
0.02864	9.97E-01	5.33E-01
0.02868	9.97E-01	5.38E-01
0.02872	9.97E-01	5.41E-01
0.02876	9.97E-01	5.45E-01
0.0288	9.96E-01	5.48E-01
0.02884	9.97E-01	5.52E-01
0.02888	9.98E-01	5.57E-01
0.02892	9.96E-01	5.58E-01
0.02896	9.97E-01	5.63E-01
0.029	9.97E-01	5.66E-01
0.02904	9.98E-01	5.70E-01
0.02908	9.98E-01	5.73E-01
0.02912	9.98E-01	5.76E-01
0.02916	9.97E-01	5.80E-01
0.0292	9.97E-01	5.83E-01
0.02924	9.97E-01	5.87E-01
0.02928	9.97E-01	5.90E-01
0.02932	9.97E-01	5.94E-01
0.02936	9.98E-01	5.96E-01
0.0294	9.96E-01	5.99E-01
0.02944	9.97E-01	6.03E-01
0.02948	9.97E-01	6.06E-01
0.02952	9.97E-01	6.09E-01
0.02956	9.97E-01	6.12E-01
0.0296	9.97E-01	6.15E-01
0.02964	9.97E-01	6.19E-01
0.02968	9.97E-01	6.22E-01
0.02972	9.97E-01	6.24E-01
0.02976	9.97E-01	6.27E-01
0.0298	9.97E-01	6.30E-01
0.02984	9.96E-01	6.34E-01
0.02988	9.96E-01	6.36E-01
0.02992	9.97E-01	6.38E-01
0.02996	9.97E-01	6.42E-01
0.03	9.98E-01	6.45E-01
0.03004	9.97E-01	6.48E-01
0.03008	9.97E-01	6.50E-01
0.03012	9.97E-01	6.53E-01
0.03016	9.97E-01	6.56E-01
0.0302	9.96E-01	6.59E-01
0.03024	9.98E-01	6.62E-01
0.03028	9.97E-01	6.64E-01
0.03032	9.97E-01	6.66E-01
0.03036	9.97E-01	6.69E-01
0.0304	9.97E-01	6.72E-01
0.03044	9.97E-01	6.75E-01
0.03048	9.96E-01	6.77E-01
0.03052	9.97E-01	6.79E-01
0.03056	9.97E-01	6.82E-01
0.0306	9.98E-01	6.85E-01
0.03064	9.97E-01	6.87E-01
0.03068	9.97E-01	6.90E-01
0.03072	9.97E-01	6.92E-01
0.03076	9.97E-01	6.95E-01
0.0308	9.97E-01	6.97E-01
0.03084	9.97E-01	6.99E-01
0.03088	9.97E-01	7.02E-01
0.03092	9.97E-01	7.04E-01
0.03096	9.97E-01	7.06E-01
0.031	9.97E-01	7.09E-01
0.03104	9.97E-01	7.12E-01
0.03108	9.97E-01	7.14E-01
0.03112	9.97E-01	7.16E-01
0.03116	9.98E-01	7.18E-01
0.0312	9.97E-01	7.19E-01
0.03124	9.97E-01	7.23E-01
0.03128	9.97E-01	7.24E-01
0.03132	9.97E-01	7.27E-01
0.03136	9.97E-01	7.29E-01
0.0314	9.96E-01	7.31E-01
0.03144	9.96E-01	7.33E-01
0.03148	9.97E-01	7.35E-01
0.03152	9.98E-01	7.37E-01
0.03156	9.98E-01	7.39E-01
0.0316	9.97E-01	7.41E-01
0.03164	9.97E-01	7.43E-01
0.03168	9.97E-01	7.45E-01
0.03172	9.97E-01	7.47E-01
0.03176	9.97E-01	7.49E-01
0.0318	9.96E-01	7.52E-01
0.03184	9.97E-01	7.53E-01
0.03188	9.97E-01	7.55E-01
0.03192	9.97E-01	7.58E-01
0.03196	9.97E-01	7.59E-01
0.032	9.98E-01	7.61E-01
0.03204	9.97E-01	7.63E-01
0.03208	9.97E-01	7.65E-01
0.03212	9.98E-01	7.67E-01
0.03216	9.97E-01	7.68E-01
0.0322	9.97E-01	7.70E-01
0.03224	9.98E-01	7.71E-01
0.03228	9.98E-01	7.73E-01
0.03232	9.97E-01	7.76E-01
0.03236	9.97E-01	7.77E-01
0.0324	9.96E-01	7.80E-01
0.03244	9.97E-01	7.80E-01
0.03248	9.98E-01	7.82E-01
0.03252	9.97E-01	7.84E-01
0.03256	9.97E-01	7.85E-01
0.0326	9.96E-01	7.88E-01
0.03264	9.98E-01	7.89E-01
0.03268	9.97E-01	7.91E-01
0.03272	9.97E-01	7.92E-01
0.03276	9.96E-01	7.94E-01
0.0328	9.97E-01	7.96E-01
0.03284	9.97E-01	7.98E-01
0.03288	9.97E-01	7.99E-01
0.03292	9.98E-01	8.01E-01
0.03296	9.97E-01	8.02E-01
0.033	9.97E-01	8.04E-01
0.03304	9.97E-01	8.05E-01
0.03308	9.96E-01	8.07E-01
0.03312	9.98E-01	8.08E-01
0.03316	9.96E-01	8.10E-01
0.0332	9.97E-01	8.11E-01
0.03324	9.98E-01	8.12E-01
0.03328	9.97E-01	8.14E-01
0.03332	9.97E-01	8.15E-01
0.03336	9.97E-01	8.17E-01
0.0334	9.97E-01	8.18E-01
0.03344	9.97E-01	8.20E-01
0.03348	9.98E-01	8.21E-01
0.03352	9.97E-01	8.23E-01
0.03356	9.97E-01	8.24E-01
0.0336	9.97E-01	8.25E-01
0.03364	9.97E-01	8.26E-01
0.03368	9.97E-01	8.29E-01
0.03372	9.98E-01	8.29E-01
0.03376	9.97E-01	8.30E-01
0.0338	9.97E-01	8.33E-01
0.03384	9.96E-01	8.33E-01
0.03388	9.97E-01	8.34E-01
0.03392	9.97E-01	8.35E-01
0.03396	9.97E-01	8.37E-01
0.034	9.97E-01	8.38E-01
0.03404	9.96E-01	8.40E-01
0.03408	9.97E-01	8.41E-01
0.03412	9.98E-01	8.42E-01
0.03416	9.97E-01	8.43E-01
0.0342	9.98E-01	8.43E-01
0.03424	9.97E-01	8.46E-01
0.03428	9.98E-01	8.47E-01
0.03432	9.97E-01	8.48E-01
0.03436	9.97E-01	8.48E-01
0.0344	9.97E-01	8.50E-01
0.03444	9.97E-01	8.52E-01
0.03448	9.98E-01	8.53E-01
0.03452	9.97E-01	8.54E-01
0.03456	9.98E-01	8.55E-01
0.0346	9.98E-01	8.56E-01
0.03464	9.97E-01	8.57E-01
0.03468	9.97E-01	8.58E-01
0.03472	9.97E-01	8.59E-01
0.03476	9.97E-01	8.60E-01
0.0348	9.97E-01	8.62E-01
0.03484	9.97E-01	8.62E-01
0.03488	9.97E-01	8.64E-01
0.03492	9.97E-01	8.64E-01
0.03496	9.97E-01	8.66E-01
0.035	9.97E-01	8.68E-01
0.03504	9.97E-01	8.67E-01
0.03508	9.97E-01	8.69E-01
0.03512	9.97E-01	8.70E-01
0.03516	9.97E-01	8.71E-01
0.0352	9.97E-01	8.72E-01
0.03524	9.97E-01	8.73E-01
0.03528	9.96E-01	8.74E-01
0.03532	9.98E-01	8.75E-01
0.03536	9.97E-01	8.75E-01
0.0354	9.97E-01	8.77E-01
0.03544	9.97E-01	8.77E-01
0.03548	9.97E-01	8.79E-01
0.03552	9.97E-01	8.79E-01
0.03556	9.98E-01	8.80E-01
0.0356	9.97E-01	8.81E-01
0.03564	9.98E-01	8.82E-01
0.03568	9.98E-01	8.83E-01
0.03572	9.97E-01	8.84E-01
0.03576	9.98E-01	8.85E-01
0.0358	9.98E-01	8.86E-01
0.03584	9.97E-01	8.86E-01
0.03588	9.96E-01	8.88E-01
0.03592	9.97E-01	8.88E-01
0.03596	9.97E-01	8.89E-01
0.036	9.96E-01	8.89E-01
0.03604	9.97E-01	8.91E-01
0.03608	9.96E-01	8.92E-01
0.03612	9.97E-01	8.93E-01
0.03616	9.97E-01	8.93E-01
0.0362	9.98E-01	8.94E-01
0.03624	9.97E-01	8.95E-01
0.03628	9.97E-01	8.96E-01
0.03632	9.98E-01	8.96E-01
0.03636	9.97E-01	8.97E-01
0.0364	9.97E-01	8.98E-01
0.03644	9.97E-01	8.98E-01
0.03648	9.97E-01	9.00E-01
0.03652	9.97E-01	9.01E-01
0.03656	9.97E-01	9.01E-01
0.0366	9.98E-01	9.02E-01
0.03664	9.97E-01	9.02E-01
0.03668	9.96E-01	9.03E-01
0.03672	9.97E-01	9.03E-01
0.03676	9.97E-01	9.05E-01
0.0368	9.97E-01	9.06E-01
0.03684	9.97E-01	9.06E-01
0.03688	9.97E-01	9.07E-01
0.03692	9.98E-01	9.08E-01
0.03696	9.97E-01	9.08E-01
0.037	9.97E-01	9.09E-01
0.03704	9.98E-01	9.10E-01
0.03708	9.97E-01	9.11E-01
0.03712	9.97E-01	9.10E-01
0.03716	9.98E-01	9.12E-01
0.0372	9.97E-01	9.12E-01
0.03724	9.98E-01	9.14E-01
0.03728	9.98E-01	9.14E-01
0.03732	9.96E-01	9.14E-01
0.03736	9.97E-01	9.15E-01
0.0374	9.96E-01	9.16E-01
0.03744	9.96E-01	9.17E-01
0.03748	9.97E-01	9.17E-01
0.03752	9.97E-01	9.18E-01
0.03756	9.97E-01	9.18E-01
0.0376	9.97E-01	9.18E-01
0.03764	9.97E-01	9.19E-01
0.03768	9.97E-01	9.20E-01
0.03772	9.97E-01	9.21E-01
0.03776	9.97E-01	9.21E-01
0.0378	9.97E-01	9.22E-01
0.03784	9.97E-01	9.23E-01
0.03788	9.97E-01	9.23E-01
0.03792	9.97E-01	9.24E-01
0.03796	9.97E-01	9.23E-01
0.038	9.97E-01	9.25E-01
0.03804	9.97E-01	9.26E-01
0.03808	9.98E-01	9.26E-01
0.03812	9.97E-01	9.27E-01
0.03816	9.98E-01	9.27E-01
0.0382	9.97E-01	9.28E-01
0.03824	9.97E-01	9.28E-01
0.03828	9.98E-01	9.29E-01
0.03832	9.98E-01	9.29E-01
0.03836	9.97E-01	9.29E-01
0.0384	9.97E-01	9.31E-01
0.03844	9.97E-01	9.31E-01
0.03848	9.97E-01	9.31E-01
0.03852	9.98E-01	9.32E-01
0.03856	9.97E-01	9.33E-01
0.0386	9.97E-01	9.33E-01
0.03864	9.97E-01	9.33E-01
0.03868	9.97E-01	9.33E-01
0.03872	9.97E-01	9.33E-01
0.03876	9.97E-01	9.35E-01
0.0388	9.97E-01	9.35E-01
0.03884	9.98E-01	9.35E-01
0.03888	9.96E-01	9.36E-01
0.03892	9.97E-01	9.37E-01
0.03896	9.96E-01	9.36E-01
0.039	9.97E-01	9.38E-01
0.03904	9.98E-01	9.38E-01
0.03908	9.98E-01	9.38E-01
0.03912	9.97E-01	9.40E-01
0.03916	9.96E-01	9.40E-01
0.0392	9.96E-01	9.40E-01
0.03924	9.98E-01	9.41E-01
0.03928	9.97E-01	9.41E-01
0.03932	9.96E-01	9.41E-01
0.03936	9.97E-01	9.41E-01
0.0394	9.97E-01	9.42E-01
0.03944	9.97E-01	9.42E-01
0.03948	9.97E-01	9.43E-01
0.03952	9.97E-01	9.44E-01
0.03956	9.98E-01	9.44E-01
0.0396	9.96E-01	9.44E-01
0.03964	9.97E-01	9.43E-01
0.03968	9.98E-01	9.45E-01
0.03972	9.97E-01	9.46E-01
0.03976	9.97E-01	9.46E-01
0.0398	9.96E-01	9.46E-01
0.03984	9.97E-01	9.47E-01
0.03988	9.97E-01	9.47E-01
0.03992	9.96E-01	9.47E-01
0.03996	9.97E-01	9.48E-01
0.04	9.97E-01	9.48E-01
0.04004	9.97E-01	9.49E-01
0.04008	9.99E-01	9.48E-01
0.04012	9.98E-01	9.49E-01
0.04016	9.97E-01	9.49E-01
0.0402	9.97E-01	9.50E-01
0.04024	9.97E-01	9.50E-01
0.04028	9.98E-01	9.51E-01
0.04032	9.97E-01	9.50E-01
0.04036	9.97E-01	9.51E-01
0.0404	9.98E-01	9.52E-01
0.04044	9.97E-01	9.52E-01
0.04048	9.97E-01	9.51E-01
0.04052	9.98E-01	9.53E-01
0.04056	9.97E-01	9.53E-01
0.0406	9.97E-01	9.53E-01
0.04064	9.97E-01	9.54E-01
0.04068	9.97E-01	9.54E-01
0.04072	9.96E-01	9.54E-01
0.04076	9.98E-01	9.55E-01
0.0408	9.98E-01	9.55E-01
0.04084	9.97E-01	9.55E-01
0.04088	9.97E-01	9.56E-01
0.04092	9.97E-01	9.55E-01
0.04096	9.98E-01	9.56E-01
0.041	9.98E-01	9.56E-01
0.04104	9.97E-01	9.57E-01
0.04108	9.97E-01	9.57E-01
0.04112	9.98E-01	9.57E-01
0.04116	9.97E-01	9.58E-01
0.0412	9.97E-01	9.59E-01
0.04124	9.97E-01	9.58E-01
0.04128	9.96E-01	9.59E-01
0.04132	9.96E-01	9.59E-01
0.04136	9.97E-01	9.60E-01
0.0414	9.97E-01	9.60E-01
0.04144	9.97E-01	9.60E-01
0.04148	9.97E-01	9.60E-01
0.04152	9.97E-01	9.60E-01
0.04156	9.97E-01	9.61E-01
0.0416	9.98E-01	9.61E-01
0.04164	9.97E-01	9.62E-01
0.04168	9.97E-01	9.61E-01
0.04172	9.98E-01	9.62E-01
0.04176	9.98E-01	9.62E-01
0.0418	9.97E-01	9.62E-01
0.04184	9.98E-01	9.62E-01
0.04188	9.96E-01	9.63E-01
0.04192	9.97E-01	9.63E-01
0.04196	9.97E-01	9.64E-01
0.042	9.97E-01	9.63E-01
0.04204	9.98E-01	9.64E-01
0.04208	9.98E-01	9.64E-01
0.04212	9.97E-01	9.65E-01
0.04216	9.96E-01	9.65E-01
0.0422	9.97E-01	9.65E-01
0.04224	9.97E-01	9.65E-01
0.04228	9.97E-01	9.65E-01
0.04232	9.97E-01	9.66E-01
0.04236	9.98E-01	9.66E-01
0.0424	9.97E-01	9.67E-01
0.04244	9.97E-01	9.66E-01
0.04248	9.97E-01	9.67E-01
0.04252	9.97E-01	9.66E-01
0.04256	9.97E-01	9.67E-01
0.0426	9.97E-01	9.67E-01
0.04264	9.98E-01	9.67E-01
0.04268	9.97E-01	9.68E-01
0.04272	9.98E-01	9.67E-01
0.04276	9.98E-01	9.69E-01
0.0428	9.97E-01	9.69E-01
0.04284	9.97E-01	9.69E-01
0.04288	9.98E-01	9.69E-01
0.04292	9.97E-01	9.70E-01
0.04296	9.97E-01	9.69E-01
0.043	9.98E-01	9.69E-01
0.04304	9.96E-01	9.70E-01
0.04308	9.98E-01	9.71E-01
0.04312	9.97E-01	9.70E-01
0.04316	9.98E-01	9.70E-01
0.0432	9.97E-01	9.71E-01
0.04324	9.96E-01	9.71E-01
0.04328	9.98E-01	9.71E-01
0.04332	9.97E-01	9.71E-01
0.04336	9.97E-01	9.72E-01
0.0434	9.98E-01	9.71E-01
0.04344	9.97E-01	9.72E-01
0.04348	9.97E-01	9.72E-01
0.04352	9.97E-01	9.72E-01
0.04356	9.98E-01	9.72E-01
0.0436	9.98E-01	9.72E-01
0.04364	9.97E-01	9.73E-01
0.04368	9.98E-01	9.73E-01
0.04372	9.96E-01	9.73E-01
0.04376	9.96E-01	9.73E-01
0.0438	9.98E-01	9.74E-01
0.04384	9.97E-01	9.74E-01
0.04388	9.98E-01	9.74E-01
0.04392	9.98E-01	9.74E-01
0.04396	9.97E-01	9.74E-01
0.044	9.97E-01	9.74E-01
0.04404	9.98E-01	9.75E-01
0.04408	9.97E-01	9.74E-01
0.04412	9.97E-01	9.75E-01
0.04416	9.99E-01	9.75E-01
0.0442	9.97E-01	9.75E-01
0.04424	9.97E-01	9.76E-01
0.04428	9.98E-01	9.76E-01
0.04432	9.97E-01	9.76E-01
0.04436	9.97E-01	9.76E-01
0.0444	9.98E-01	9.76E-01
0.04444	9.97E-01	9.76E-01
0.04448	9.97E-01	9.77E-01
0.04452	9.97E-01	9.77E-01
0.04456	9.98E-01	9.76E-01
0.0446	9.97E-01	9.77E-01
0.04464	9.96E-01	9.77E-01
0.04468	9.97E-01	9.77E-01
0.04472	9.98E-01	9.77E-01
0.04476	9.97E-01	9.77E-01
0.0448	9.98E-01	9.78E-01
0.04484	9.97E-01	9.77E-01
0.04488	9.97E-01	9.78E-01
0.04492	9.98E-01	9.77E-01
0.04496	9.97E-01	9.78E-01
0.045	9.97E-01	9.78E-01
0.04504	9.97E-01	9.78E-01
0.04508	9.97E-01	9.78E-01
0.04512	9.98E-01	9.79E-01
0.04516	9.97E-01	9.78E-01
0.0452	9.97E-01	9.78E-01
0.04524	9.98E-01	9.79E-01
0.04528	9.98E-01	9.79E-01
0.04532	9.97E-01	9.79E-01
0.04536	9.97E-01	9.79E-01
0.0454	9.97E-01	9.79E-01
0.04544	9.97E-01	9.80E-01
0.04548	9.97E-01	9.79E-01
0.04552	9.97E-01	9.80E-01
0.04556	9.98E-01	9.81E-01
0.0456	9.97E-01	9.80E-01
0.04564	9.98E-01	9.81E-01
0.04568	9.97E-01	9.81E-01
0.04572	9.97E-01	9.80E-01
0.04576	9.97E-01	9.81E-01
0.0458	9.97E-01	9.81E-01
0.04584	9.97E-01	9.81E-01
0.04588	9.97E-01	9.81E-01
0.04592	9.97E-01	9.81E-01
0.04596	9.98E-01	9.82E-01
0.046	9.98E-01	9.81E-01
0.04604	9.96E-01	9.81E-01
0.04608	9.97E-01	9.81E-01
0.04612	9.97E-01	9.82E-01
0.04616	9.98E-01	9.82E-01
0.0462	9.97E-01	9.82E-01
0.04624	9.97E-01	9.82E-01
0.04628	9.97E-01	9.82E-01
0.04632	9.98E-01	9.83E-01
0.04636	9.97E-01	9.82E-01
0.0464	9.97E-01	9.82E-01
0.04644	9.98E-01	9.83E-01
0.04648	9.98E-01	9.82E-01
0.04652	9.97E-01	9.83E-01
0.04656	9.97E-01	9.83E-01
0.0466	9.98E-01	9.84E-01
0.04664	9.98E-01	9.83E-01
0.04668	9.97E-01	9.84E-01
0.04672	9.97E-01	9.84E-01
0.04676	9.97E-01	9.83E-01
0.0468	9.97E-01	9.83E-01
0.04684	9.98E-01	9.84E-01
0.04688	9.98E-01	9.83E-01
0.04692	9.97E-01	9.84E-01
0.04696	9.97E-01	9.84E-01
0.047	9.97E-01	9.84E-01
0.04704	9.98E-01	9.84E-01
0.04708	9.98E-01	9.84E-01
0.04712	9.98E-01	9.85E-01
0.04716	9.97E-01	9.84E-01
0.0472	9.97E-01	9.85E-01
0.04724	9.97E-01	9.85E-01
0.04728	9.97E-01	9.85E-01
0.04732	9.97E-01	9.85E-01
0.04736	9.97E-01	9.85E-01
0.0474	9.98E-01	9.85E-01
0.04744	9.97E-01	9.85E-01
0.04748	9.97E-01	9.85E-01
0.04752	9.97E-01	9.85E-01
0.04756	9.97E-01	9.85E-01
0.0476	9.97E-01	9.85E-01
0.04764	9.98E-01	9.86E-01
0.04768	9.97E-01	9.85E-01
0.04772	9.97E-01	9.85E-01
0.04776	9.97E-01	9.86E-01
0.0478	9.97E-01	9.85E-01
0.04784	9.97E-01	9.85E-01
0.04788	9.97E-01	9.86E-01
0.04792	9.96E-01	9.86E-01
0.04796	9.97E-01	9.86E-01
0.048	9.97E-01	9.86E-01
0.04804	9.97E-01	9.86E-01
0.04808	9.98E-01	9.86E-01
0.04812	9.97E-01	9.86E-01
0.04816	9.98E-01	9.87E-01
0.0482	9.96E-01	9.86E-01
0.04824	9.98E-01	9.87E-01
0.04828	9.97E-01	9.87E-01
0.04832	9.97E-01	9.87E-01
0.04836	9.98E-01	9.86E-01
0.0484	9.97E-01	9.87E-01
0.04844	9.97E-01	9.87E-01
0.04848	9.97E-01	9.88E-01
0.04852	9.97E-01	9.87E-01
0.04856	9.97E-01	9.87E-01
0.0486	9.98E-01	9.87E-01
0.04864	9.97E-01	9.87E-01
0.04868	9.97E-01	9.87E-01
0.04872	9.97E-01	9.88E-01
0.04876	9.97E-01	9.87E-01
0.0488	9.97E-01	9.87E-01
0.04884	9.98E-01	9.88E-01
0.04888	9.96E-01	9.89E-01
0.04892	9.97E-01	9.88E-01
0.04896	9.97E-01	9.88E-01
0.049	9.97E-01	9.88E-01
0.04904	9.97E-01	9.88E-01
0.04908	9.97E-01	9.88E-01
0.04912	9.97E-01	9.89E-01
0.04916	9.97E-01	9.88E-01
0.0492	9.96E-01	9.89E-01
0.04924	9.97E-01	9.89E-01
0.04928	9.97E-01	9.89E-01
0.04932	9.98E-01	9.89E-01
0.04936	9.98E-01	9.89E-01
0.0494	9.97E-01	9.89E-01
0.04944	9.98E-01	9.89E-01
0.04948	9.97E-01	9.89E-01
0.04952	9.96E-01	9.90E-01
0.04956	9.97E-01	9.90E-01
0.0496	9.97E-01	9.89E-01
0.04964	9.97E-01	9.89E-01
0.04968	9.97E-01	9.89E-01
0.04972	9.96E-01	9.88E-01
0.04976	9.97E-01	9.89E-01
0.0498	9.97E-01	9.90E-01
0.04984	9.96E-01	9.90E-01
0.04988	9.97E-01	9.90E-01
0.04992	9.97E-01	9.90E-01
0.04996	9.97E-01	9.90E-01
0.05	1.61E-01	9.87E-01
0.05004	-2.14E-03	9.77E-01
0.05008	-1.82E-03	9.68E-01
0.05012	-1.49E-03	9.58E-01
0.05016	-1.49E-03	9.49E-01
0.0502	-1.49E-03	9.42E-01
0.05024	-1.82E-03	9.33E-01
0.05028	-2.14E-03	9.25E-01
0.05032	-1.49E-03	9.17E-01
0.05036	-1.49E-03	9.09E-01
0.0504	-2.14E-03	9.01E-01
0.05044	-1.49E-03	8.93E-01
0.05048	-1.49E-03	8.86E-01
0.05052	-8.37E-04	8.78E-01
0.05056	-1.82E-03	8.70E-01
0.0506	-1.82E-03	8.64E-01
0.05064	-1.49E-03	8.56E-01
0.05068	-2.14E-03	8.48E-01
0.05072	-1.82E-03	8.41E-01
0.05076	-1.49E-03	8.34E-01
0.0508	-1.82E-03	8.28E-01
0.05084	-2.14E-03	8.20E-01
0.05088	-2.47E-03	8.14E-01
0.05092	-1.82E-03	8.06E-01
0.05096	-2.14E-03	8.00E-01
0.051	-2.14E-03	7.93E-01
0.05104	-2.47E-03	7.86E-01
0.05108	-1.82E-03	7.80E-01
0.05112	-2.14E-03	7.74E-01
0.05116	-2.47E-03	7.67E-01
0.0512	-2.47E-03	7.61E-01
0.05124	-2.14E-03	7.55E-01
0.05128	-1.82E-03	7.49E-01
0.05132	-2.79E-03	7.42E-01
0.05136	-1.82E-03	7.36E-01
0.0514	-1.82E-03	7.30E-01
0.05144	-2.14E-03	7.24E-01
0.05148	-1.49E-03	7.18E-01
0.05152	-1.82E-03	7.12E-01
0.05156	-1.16E-03	7.06E-01
0.0516	-1.82E-03	7.00E-01
0.05164	-2.14E-03	6.95E-01
0.05168	-2.14E-03	6.89E-01
0.05172	-1.82E-03	6.83E-01
0.05176	-1.49E-03	6.77E-01
0.0518	-1.49E-03	6.72E-01
0.05184	-2.47E-03	6.66E-01
0.05188	-1.49E-03	6.61E-01
0.05192	-2.47E-03	6.55E-01
0.05196	-3.12E-03	6.50E-01
0.052	-1.49E-03	6.45E-01
0.05204	-2.47E-03	6.39E-01
0.05208	-1.82E-03	6.35E-01
0.05212	-2.14E-03	6.29E-01
0.05216	-1.49E-03	6.24E-01
0.0522	-2.47E-03	6.19E-01
0.05224	-1.16E-03	6.14E-01
0.05228	-1.16E-03	6.09E-01
0.05232	-1.82E-03	6.04E-01
0.05236	-2.79E-03	5.99E-01
0.0524	-2.79E-03	5.94E-01
0.05244	-2.14E-03	5.90E-01
0.05248	-1.49E-03	5.84E-01
0.05252	-1.16E-03	5.79E-01
0.05256	-2.14E-03	5.75E-01
0.0526	-2.14E-03	5.70E-01
0.05264	-1.49E-03	5.66E-01
0.05268	-2.14E-03	5.61E-01
0.05272	-1.49E-03	5.57E-01
0.05276	-2.14E-03	5.53E-01
0.0528	-2.47E-03	5.47E-01
0.05284	-2.47E-03	5.43E-01
0.05288	-2.47E-03	5.38E-01
0.05292	-2.14E-03	5.34E-01
0.05296	-2.14E-03	5.30E-01
0.053	-2.47E-03	5.25E-01
0.05304	-1.49E-03	5.21E-01
0.05308	-3.45E-03	5.18E-01
0.05312	-1.49E-03	5.13E-01
0.05316	-1.16E-03	5.09E-01
0.0532	-1.82E-03	5.04E-01
0.05324	-2.14E-03	5.01E-01
0.05328	-2.47E-03	4.97E-01
0.05332	-2.14E-03	4.93E-01
0.05336	-1.49E-03	4.88E-01
0.0534	-2.14E-03	4.84E-01
0.05344	-1.82E-03	4.80E-01
0.05348	-2.14E-03	4.77E-01
0.05352	-3.45E-03	4.73E-01
0.05356	-1.82E-03	4.68E-01
0.0536	-2.79E-03	4.64E-01
0.05364	-1.49E-03	4.61E-01
0.05368	-2.14E-03	4.58E-01
0.05372	-2.14E-03	4.54E-01
0.05376	-2.14E-03	4.50E-01
0.0538	-1.82E-03	4.47E-01
0.05384	-2.79E-03	4.43E-01
0.05388	-2.14E-03	4.40E-01
0.05392	-1.49E-03	4.37E-01
0.05396	-1.49E-03	4.32E-01
0.054	-1.49E-03	4.29E-01
0.05404	-2.14E-03	4.26E-01
0.05408	-2.47E-03	4.23E-01
0.05412	-2.47E-03	4.19E-01
0.05416	-1.49E-03	4.15E-01
0.0542	-2.14E-03	4.12E-01
0.05424	-1.82E-03	4.08E-01
0.05428	-2.14E-03	4.05E-01
0.05432	-2.47E-03	4.02E-01
0.05436	-2.47E-03	3.99E-01
0.0544	-1.49E-03	3.96E-01
0.05444	-1.82E-03	3.92E-01
0.05448	-2.14E-03	3.89E-01
0.05452	-2.14E-03	3.86E-01
0.05456	-8.37E-04	3.83E-01
0.0546	-2.14E-03	3.81E-01
0.05464	-2.47E-03	3.77E-01
0.05468	-1.49E-03	3.74E-01
0.05472	-1.49E-03	3.71E-01
0.05476	-1.82E-03	3.67E-01
0.0548	-2.47E-03	3.65E-01
0.05484	-2.47E-03	3.62E-01
0.05488	-2.14E-03	3.59E-01
0.05492	-1.49E-03	3.56E-01
0.05496	-1.82E-03	3.54E-01
0.055	-2.14E-03	3.50E-01
0.05504	-1.49E-03	3.47E-01
0.05508	-1.49E-03	3.45E-01
0.05512	-2.47E-03	3.43E-01
0.05516	-2.47E-03	3.39E-01
0.0552	-2.47E-03	3.37E-01
0.05524	-1.49E-03	3.34E-01
0.05528	-1.82E-03	3.31E-01
0.05532	-1.82E-03	3.28E-01
0.05536	-2.14E-03	3.26E-01
0.0554	-1.82E-03	3.23E-01
0.05544	-2.79E-03	3.21E-01
0.05548	-2.14E-03	3.18E-01
0.05552	-2.47E-03	3.15E-01
0.05556	-1.49E-03	3.13E-01
0.0556	-1.49E-03	3.12E-01
0.05564	-1.82E-03	3.08E-01
0.05568	-2.14E-03	3.05E-01
0.05572	-2.14E-03	3.03E-01
0.05576	-2.14E-03	3.01E-01
0.0558	-1.49E-03	2.98E-01
0.05584	-2.47E-03	2.96E-01
0.05588	-2.14E-03	2.93E-01
0.05592	-2.79E-03	2.91E-01
0.05596	-1.82E-03	2.89E-01
0.056	-1.82E-03	2.87E-01
0.05604	-2.14E-03	2.84E-01
0.05608	-2.47E-03	2.82E-01
0.05612	-2.47E-03	2.79E-01
0.05616	-1.49E-03	2.78E-01
0.0562	-2.14E-03	2.75E-01
0.05624	-1.82E-03	2.73E-01
0.05628	-2.47E-03	2.70E-01
0.05632	-2.14E-03	2.69E-01
0.05636	-2.14E-03	2.67E-01
0.0564	-2.47E-03	2.65E-01
0.05644	-1.82E-03	2.62E-01
0.05648	-1.82E-03	2.60E-01
0.05652	-2.47E-03	2.58E-01
0.05656	-2.14E-03	2.56E-01
0.0566	-1.82E-03	2.53E-01
0.05664	-2.47E-03	2.51E-01
0.05668	-2.14E-03	2.50E-01
0.05672	-2.47E-03	2.48E-01
0.05676	-1.82E-03	2.46E-01
