	Ch0	Gen
	18:31.0	18:31.0
	4.00E-05	4.00E-05
		
Time	Ch0	Gen
0.00628	-2.14E-03	2.71E-01
0.00632	-2.79E-03	2.69E-01
0.00636	-1.49E-03	2.66E-01
0.0064	-1.82E-03	2.65E-01
0.00644	-2.47E-03	2.63E-01
0.00648	-1.82E-03	2.60E-01
0.00652	-1.16E-03	2.59E-01
0.00656	-2.14E-03	2.56E-01
0.0066	-1.49E-03	2.54E-01
0.00664	-2.14E-03	2.51E-01
0.00668	-2.47E-03	2.50E-01
0.00672	-2.79E-03	2.48E-01
0.00676	-2.14E-03	2.47E-01
0.0068	-1.49E-03	2.44E-01
0.00684	-2.14E-03	2.42E-01
0.00688	-2.47E-03	2.40E-01
0.00692	-1.49E-03	2.38E-01
0.00696	-2.14E-03	2.37E-01
0.007	-2.14E-03	2.34E-01
0.00704	-2.14E-03	2.33E-01
0.00708	-2.47E-03	2.30E-01
0.00712	-1.82E-03	2.29E-01
0.00716	-2.47E-03	2.27E-01
0.0072	-1.82E-03	2.24E-01
0.00724	-2.14E-03	2.24E-01
0.00728	-1.49E-03	2.22E-01
0.00732	-2.79E-03	2.20E-01
0.00736	-2.47E-03	2.18E-01
0.0074	-1.82E-03	2.17E-01
0.00744	-2.79E-03	2.14E-01
0.00748	-1.16E-03	2.12E-01
0.00752	-2.47E-03	2.11E-01
0.00756	-1.82E-03	2.09E-01
0.0076	-2.79E-03	2.09E-01
0.00764	-2.47E-03	2.07E-01
0.00768	-3.12E-03	2.05E-01
0.00772	-1.49E-03	2.02E-01
0.00776	-2.47E-03	2.01E-01
0.0078	-1.49E-03	2.00E-01
0.00784	-1.49E-03	1.98E-01
0.00788	-2.79E-03	1.97E-01
0.00792	-2.14E-03	1.95E-01
0.00796	-1.49E-03	1.93E-01
0.008	-2.47E-03	1.91E-01
0.00804	-2.14E-03	1.90E-01
0.00808	-1.49E-03	1.89E-01
0.00812	-1.49E-03	1.88E-01
0.00816	-2.47E-03	1.86E-01
0.0082	-2.79E-03	1.84E-01
0.00824	-1.82E-03	1.82E-01
0.00828	-1.49E-03	1.81E-01
0.00832	-2.47E-03	1.80E-01
0.00836	-2.14E-03	1.78E-01
0.0084	-3.45E-03	1.77E-01
0.00844	-1.82E-03	1.75E-01
0.00848	-1.82E-03	1.74E-01
0.00852	-2.47E-03	1.72E-01
0.00856	-1.82E-03	1.71E-01
0.0086	-1.82E-03	1.70E-01
0.00864	-2.14E-03	1.68E-01
0.00868	-1.49E-03	1.67E-01
0.00872	-2.47E-03	1.66E-01
0.00876	-2.47E-03	1.65E-01
0.0088	-2.14E-03	1.63E-01
0.00884	-1.82E-03	1.62E-01
0.00888	-2.47E-03	1.61E-01
0.00892	-2.14E-03	1.60E-01
0.00896	-1.49E-03	1.59E-01
0.009	-1.82E-03	1.57E-01
0.00904	-3.12E-03	1.55E-01
0.00908	-2.14E-03	1.54E-01
0.00912	-2.47E-03	1.53E-01
0.00916	-1.49E-03	1.52E-01
0.0092	-2.47E-03	1.51E-01
0.00924	-2.79E-03	1.49E-01
0.00928	-1.82E-03	1.49E-01
0.00932	-2.14E-03	1.47E-01
0.00936	-2.14E-03	1.47E-01
0.0094	-1.49E-03	1.45E-01
0.00944	-2.14E-03	1.43E-01
0.00948	-1.49E-03	1.42E-01
0.00952	-2.79E-03	1.42E-01
0.00956	-1.49E-03	1.41E-01
0.0096	-2.14E-03	1.39E-01
0.00964	-1.82E-03	1.38E-01
0.00968	-2.79E-03	1.37E-01
0.00972	-2.14E-03	1.36E-01
0.00976	-3.12E-03	1.34E-01
0.0098	-2.47E-03	1.33E-01
0.00984	-2.14E-03	1.33E-01
0.00988	-2.14E-03	1.32E-01
0.00992	-2.47E-03	1.31E-01
0.00996	-2.14E-03	1.30E-01
0.01	-3.12E-03	1.29E-01
0.01004	-2.14E-03	1.27E-01
0.01008	-2.47E-03	1.26E-01
0.01012	-2.79E-03	1.26E-01
0.01016	-1.82E-03	1.25E-01
0.0102	-2.14E-03	1.24E-01
0.01024	-2.14E-03	1.22E-01
0.01028	-2.14E-03	1.22E-01
0.01032	-2.47E-03	1.21E-01
0.01036	-1.82E-03	1.19E-01
0.0104	-2.14E-03	1.19E-01
0.01044	-2.79E-03	1.18E-01
0.01048	-2.47E-03	1.17E-01
0.01052	-2.14E-03	1.16E-01
0.01056	-2.79E-03	1.14E-01
0.0106	-2.14E-03	1.14E-01
0.01064	-1.82E-03	1.13E-01
0.01068	-2.14E-03	1.12E-01
0.01072	-2.47E-03	1.11E-01
0.01076	-2.14E-03	1.11E-01
0.0108	-2.14E-03	1.09E-01
0.01084	-1.49E-03	1.09E-01
0.01088	-2.14E-03	1.07E-01
0.01092	-2.47E-03	1.07E-01
0.01096	-2.14E-03	1.06E-01
0.011	-1.82E-03	1.05E-01
0.01104	-2.47E-03	1.05E-01
0.01108	-2.47E-03	1.04E-01
0.01112	-1.82E-03	1.03E-01
0.01116	-1.82E-03	1.02E-01
0.0112	-1.49E-03	1.02E-01
0.01124	-2.14E-03	1.01E-01
0.01128	-2.79E-03	9.96E-02
0.01132	-1.49E-03	9.86E-02
0.01136	-2.79E-03	9.79E-02
0.0114	-2.14E-03	9.70E-02
0.01144	-2.14E-03	9.63E-02
0.01148	-1.49E-03	9.63E-02
0.01152	-1.49E-03	9.50E-02
0.01156	-1.49E-03	9.34E-02
0.0116	-1.49E-03	9.34E-02
0.01164	-2.47E-03	9.31E-02
0.01168	-1.82E-03	9.14E-02
0.01172	-1.49E-03	9.11E-02
0.01176	-1.49E-03	9.01E-02
0.0118	-2.14E-03	8.95E-02
0.01184	-2.47E-03	8.82E-02
0.01188	-2.47E-03	8.82E-02
0.01192	-2.79E-03	8.72E-02
0.01196	-1.49E-03	8.65E-02
0.012	-1.49E-03	8.62E-02
0.01204	-1.82E-03	8.59E-02
0.01208	-1.49E-03	8.49E-02
0.01212	-2.79E-03	8.39E-02
0.01216	-2.79E-03	8.39E-02
0.0122	-2.47E-03	8.33E-02
0.01224	-1.49E-03	8.23E-02
0.01228	-2.14E-03	8.20E-02
0.01232	-2.14E-03	8.07E-02
0.01236	-1.82E-03	8.07E-02
0.0124	-2.47E-03	7.94E-02
0.01244	-2.79E-03	7.90E-02
0.01248	-1.49E-03	7.84E-02
0.01252	-5.11E-04	7.81E-02
0.01256	-5.11E-04	7.71E-02
0.0126	-2.47E-03	7.61E-02
0.01264	-2.14E-03	7.64E-02
0.01268	-3.12E-03	7.51E-02
0.01272	-2.14E-03	7.45E-02
0.01276	-1.82E-03	7.41E-02
0.0128	-1.82E-03	7.45E-02
0.01284	-2.47E-03	7.35E-02
0.01288	-2.47E-03	7.28E-02
0.01292	-1.82E-03	7.19E-02
0.01296	-2.47E-03	7.15E-02
0.013	-1.49E-03	7.12E-02
0.01304	-1.16E-03	7.02E-02
0.01308	-2.14E-03	6.89E-02
0.01312	-2.14E-03	6.93E-02
0.01316	-1.82E-03	6.83E-02
0.0132	-2.79E-03	6.79E-02
0.01324	-1.49E-03	6.70E-02
0.01328	-3.45E-03	6.63E-02
0.01332	-2.14E-03	6.60E-02
0.01336	-1.49E-03	6.53E-02
0.0134	-2.14E-03	6.50E-02
0.01344	-1.49E-03	6.44E-02
0.01348	-1.49E-03	6.40E-02
0.01352	-2.14E-03	6.37E-02
0.01356	-1.49E-03	6.37E-02
0.0136	-1.49E-03	6.21E-02
0.01364	-1.82E-03	6.24E-02
0.01368	-2.47E-03	6.14E-02
0.01372	-2.47E-03	6.11E-02
0.01376	-1.82E-03	6.11E-02
0.0138	-1.82E-03	6.01E-02
0.01384	-2.47E-03	5.98E-02
0.01388	-2.47E-03	5.91E-02
0.01392	-2.47E-03	5.91E-02
0.01396	-1.82E-03	5.78E-02
0.014	-1.82E-03	5.75E-02
0.01404	-2.14E-03	5.72E-02
0.01408	-1.49E-03	5.69E-02
0.01412	-1.82E-03	5.65E-02
0.01416	-1.82E-03	5.69E-02
0.0142	-1.49E-03	5.52E-02
0.01424	-2.47E-03	5.46E-02
0.01428	-2.47E-03	5.49E-02
0.01432	-2.14E-03	5.49E-02
0.01436	-2.47E-03	5.36E-02
0.0144	-8.37E-04	5.33E-02
0.01444	-2.14E-03	5.33E-02
