Frequency,DB(MAG(V(NODE1))),PHDEG(V(NODE1))
10,-0.002361902,-2.851083392
15.84893192,-0.005846364,-4.51702214
25.11886432,-0.0145005,-7.152517036
39.81071706,-0.035625202,-11.31067406
63.09573445,-0.084932673,-17.8303216
100,-0.186760277,-27.92255623
158.4893192,-0.324935755,-43.30288509
251.1886432,-0.156823845,-67.85795364
398.1071706,0.595092038,-126.8675866
630.9573445,-10.98313784,-212.3728302
1000,-25.52221602,-240.3008447
1584.893192,-39.71879751,-255.8096339
2511.886432,-56.48994533,-285.4106175
3981.071706,-62.41558049,-385.1577337
6309.573445,-61.41043191,-398.1934869
10000,-62.24230955,-394.1055989
