Frequency,DB(MAG(V(NODE1))),PHDEG(V(NODE1))
10,-0.001371224,-1.584354809
15.84893192,-0.003377351,-2.510936784
25.11886432,-0.008417031,-3.979182499
39.81071706,-0.021079337,-6.30504538
63.09573445,-0.052904974,-9.986670824
100,-0.132956424,-15.8028638
158.4893192,-0.334527486,-24.94239616
251.1886432,-0.841208986,-39.08513799
398.1071706,-2.085505046,-59.97698555
630.9573445,-4.843492051,-87.17776354
1000,-9.693125511,-115.1214407
1584.893192,-16.22003673,-137.4465791
2511.886432,-23.61346288,-152.8372335
3981.071706,-31.37210519,-162.8881481
6309.573445,-39.27719125,-169.4128385
10000,-47.24163263,-173.8819014
