Frequency,DB(MAG(V(NODE1))),PHDEG(V(NODE1))
10,-0.001133522,-1.972469441
15.84893192,-0.002779251,-3.126099415
25.11886432,-0.006912082,-4.954319379
39.81071706,-0.017286714,-7.851219614
63.09573445,-0.04330627,-12.44002715
100,-0.1084273,-19.70345207
158.4893192,-0.2707682,-31.18243786
251.1886432,-0.674330113,-49.27928914
398.1071706,-1.700271036,-77.72716787
630.9573445,-4.525984282,-120.9345324
1000,-11.44662942,-172.0515958
1584.893192,-21.99561402,-211.0119617
2511.886432,-33.89566013,-237.5624186
3981.071706,-46.26351584,-265.4061915
6309.573445,-55.45137422,-316.9780862
10000,-56.75956397,-353.7038799
