Frequency,DB(MAG(V(C2.nA))),PHDEG(V(C2.nA)),
1,0.000007093852932755587,-0.027000023050479036,
1.0797751623277096,0.000008270825692077952,-0.02915395840168572,
1.1659144011798317,0.000009643075324688934,-0.031479725364412965,
1.2589254117941673,0.000011243001127948972,-0.0339910321102156,
1.3593563908785256,0.000013108377926869347,-0.036702680453943905,
1.4677992676220695,0.000015283247957439983,-0.03963065311787626,
1.5848931924611134,0.000017818960737126405,-0.04279220796216791,
1.7113283041617808,0.000020775385445070128,-0.04620597973859968,
1.847849797422291,0.000024222324491901112,-0.04989208996936556,
1.9952623149688795,0.000028241161594462298,-0.05387226560104774,
2.154434690031884,0.00003292678330864447,-0.05816996713630451,
2.3263050671536263,0.00003838981940935606,-0.06281052700248244,
2.51188643150958,0.00004475925495429581,-0.06782129897774146,
2.712272579332028,0.00005218547576905596,-0.07323181956176178,
2.9286445646252366,0.00006084381925194074,-0.07907398225015135,
3.1622776601683795,0.00007093871434184851,-0.08538222574980159,
3.414548873833602,0.00008270850841577548,-0.09219373725721967,
3.6869450645195756,0.00009643109511671806,-0.0995486720139352,
3.9810717055349727,0.00011243047599620897,-0.10749039045315846,
4.298662347082277,0.00013108441098079771,-0.11606571436076417,
4.641588833612779,0.0001528333383081736,-0.12532520359231022,
5.011872336272723,0.00017819077468568133,-0.13532345501722529,
5.411695265464637,0.00020775544126177823,-0.14611942550271484,
5.843414133735176,0.00024222540194673275,-0.1577767809047291,
6.3095734448019325,0.0002824145480834329,-0.17036427320312783,
6.812920690579613,0.000329271818938776,-0.1839561481048354,
7.3564225445964135,0.0003839036123062867,-0.1986325856445243,
7.943282347242815,0.0004475999148212385,-0.21448017653980478,
8.576958985908941,0.000521864769719329,-0.23159243731012755,
9.261187281287935,0.0006084518024364473,-0.25007036744933586,
10,0.0007094056441650418,-0.2700230522554859,
10.797751623277097,0.0008271102333183615,-0.2915683152735471,
11.659144011798316,0.0009643451379001735,-0.3148334247034306,
12.589254117941673,0.0011243512320342163,-0.33995585857540184,
13.593563908785256,0.0013109072820750385,-0.36708413400701506,
14.677992676220695,0.0015284192570115675,-0.3963787064422159,
15.848931924611135,0.0017820244805646672,-0.4280129454488517,
17.11328304161781,0.0020777130960299484,-0.4621741944337141,
18.478497974222908,0.00242246972793742,-0.49906492254692897,
19.952623149688797,0.002824438707301634,-0.5389039781180375,
21.544346900318835,0.0032931167915187212,-0.5819279542294149,
23.26305067153626,0.0038395779699387203,-0.6283926785324462,
25.118864315095802,0.004476735718370297,-0.6785748412027983,
27.12272579332028,0.0052196489699077595,-0.7327737770819626,
29.286445646252364,0.006085879128807661,-0.7913134206493874,
31.622776601683793,0.007095906696111795,-0.8545444556221036,
34.14548873833602,0.008273617533474349,-0.9228466848245777,
36.869450645195755,0.009646870503931064,-0.9966316506853203,
39.81071705534973,0.011248160242556544,-1.0763455425204362,
42.98662347082277,0.013115391182194354,-1.162472433940395,
46.415888336127786,0.015292781757776422,-1.2555379026258475,
50.11872336272723,0.017831921019788876,-1.356113095823735,
54.11695265464637,0.02079300380329993,-1.4648193188108036,
58.43414133735176,0.024246275246702767,-1.582333241025224,
63.09573444801932,0.02827372098464892,-1.7093928365724451,
68.12920690579612,0.03297104593964211,-1.8468042036629275,
73.56422544596413,0.03844999253855536,-1.9954494429302079,
79.43282347242815,0.04484105867478891,-2.156295819735478,
85.76958985908941,0.052296687190221715,-2.330406493438151,
92.61187281287935,0.060995012526882005,-2.5189531711298563,
100,0.07114426708779374,-2.723231139765281,
107.97751623277097,0.08298797050663571,-2.9446772561110612,
116.59144011798317,0.09681105043259755,-3.1848916382046273,
125.89254117941672,0.11294707485289265,-3.445664018464598,
135.93563908785256,0.1317868150426006,-3.7290060058410486,
146.77992676220694,0.15378840709041613,-4.037190888580773,
158.48931924611134,0.17948944139455375,-4.372803127417021,
171.13283041617808,0.20952138720487684,-4.738800394551137,
184.7849797422291,0.24462685795260866,-5.138591984088135,
199.52623149688796,0.2856803488835675,-5.5761387685366355,
215.44346900318837,0.3337132391753831,-6.056081773457164,
232.6305067153626,0.3899440558648098,-6.583909145207181,
251.188643150958,0.4558152576996552,-7.1661751891047025,
271.2272579332028,0.5330381249050534,-7.810790871239022,
292.86445646252366,0.6236477437394877,-8.527413678572698,
316.22776601683796,0.7300705473942819,-9.32797758305587,
341.4548873833602,0.8552073759970903,-10.227423616012981,
368.6945064519575,1.002535417691054,-11.244722489122202,
398.10717055349727,1.176232347182681,-12.404330001664963,
429.8662347082277,1.3813246465525222,-13.73829600067509,
464.1588833612779,1.6238574608399003,-15.2893797713217,
501.1872336272723,1.9110705980675184,-17.115745799187643,
541.1695265464637,2.2515328492703848,-19.2981858540981,
584.3414133735176,2.6551064125965187,-21.95143155067,
630.9573444801932,3.132415050506749,-25.242090468356597,
681.2920690579613,3.693001821041381,-29.416970010963556,
735.6422544596413,4.3401821346447775,-34.84576681497921,
794.3282347242815,5.057960324825106,-42.07472734801442,
857.6958985908941,5.781069221203944,-51.847730788570665,
926.1187281287935,6.341471216151075,-64.91687893657779,
1000,6.434250215014506,-81.28247707410222,
1079.7751623277097,5.758048941215232,-99.11833509014097,
1165.9144011798317,4.317308143691945,-115.42104273873204,
1258.9254117941673,2.4169225630631113,-128.4098124912515,
1359.3563908785256,0.3592372441324934,-138.11553322067,
1467.7992676220695,-1.6907195259743828,-145.2957738094977,
1584.8931924611136,-3.6693222451311347,-150.69062339380534,
1711.3283041617808,-5.561264654031921,-154.84175962267364,
1847.849797422291,-7.370106850716711,-158.11548812041195,
