Time,V(C1.nA),
0.00005,0.05025125628140704,
0.0001,0.14545087245271585,
0.00015,0.2783303654963284,
0.0002,0.4401295666884685,
0.00025,0.6211192860715722,
0.0003,0.8111437804600535,
0.00035,1.000154670612988,
0.0004,1.1787099502241527,
0.00045,1.3384149404988133,
0.0005,1.4722862408337283,
0.00055,1.5750246431182846,
0.0006,1.6431883275319215,
0.00065,1.675263148609532,
0.0007,1.6716321680894088,
0.00075,1.634451534829724,
0.0008,1.5674441257788798,
0.00085,1.475625863671606,
0.0009,1.3649821857174176,
0.00095,1.2421136766090677,
0.001,1.1138703777223318,
0.00105,0.9869937748684137,
0.0011,0.8677840307215758,
0.00115,0.761807788476243,
0.0012,0.6736589873361172,
0.00125,0.6067817788551885,
0.0013,0.5633610100965629,
0.00135,0.5442820421187378,
0.0014,0.5491580903548254,
0.00145,0.5764199806303846,
0.0015,0.6234603603565215,
0.00155,0.6868221080195794,
0.0016,0.7624190300319368,
0.00165,0.8457759699214031,
0.0017,0.9322751910269591,
0.00175,1.0173963048841197,
0.0018,1.0969380453680642,
0.00185,1.1672117476660588,
0.0019,1.2251983735724028,
0.00195,1.2686632074149586,
0.002,1.2962247988132045,
0.00205,1.3073772168772153,
0.0021,1.3024670783207422,
0.00215,1.2826290037889616,
0.0022,1.2496850437393918,
0.00225,1.2060151194845528,
0.0023,1.1544065920737219,
0.00235,1.0978916721040064,
0.0024,1.0395815129314105,
0.00245,0.9825055076361234,
0.0025,0.9294635776267001,
0.00255,0.8828981574355516,
0.0026,0.8447912198963986,
0.00265,0.8165901321761737,
0.0027,0.7991644748235909,
0.00275,0.7927942822079048,
0.0028,0.7971885584198243,
0.00285,0.8115314646692848,
0.0029,0.8345523276250923,
0.00295,0.8646146339539412,
0.003,0.8998184894830074,
0.00305,0.9381106500088082,
0.0031,0.9773961760327402,
0.00315,1.0156460108677745,
0.0032,1.0509953015225921,
0.00325,1.0818280333209829,
0.0033,1.106844481787755,
0.00335,1.1251090420584868,
0.0034,1.136077116984681,
0.00345,1.1396008703328104,
0.0035,1.1359147242329122,
0.00355,1.1256024493127612,
0.0036,1.1095485187694647,
0.00365,1.0888770407300963,
0.0037,1.0648820242542054,
0.00375,1.0389529622441074,
0.0038,1.0124997296795872,
0.00385,0.9868806089814683,
0.0039,0.9633368864635735,
0.00395,0.9429369432575437,
0.004,0.9265321253916691,
0.00405,0.9147259594986987,
0.0041,0.9078575234038977,
0.00415,0.9059990248116283,
0.0042,0.9089669243922167,
0.00425,0.9163452956345707,
0.0043,0.9275195711984744,
0.00435,0.941718405841837,
0.0044,0.9580611036033133,
0.00445,0.9756079183928834,
0.0045,0.9934105414909253,
0.00455,1.0105602285639033,
0.0046,1.0262312782326513,
0.00465,1.0397179342899279,
0.0047,1.0504632207013287,
0.00475,1.058078706321078,
0.0048,1.06235470749345,
0.00485,1.063260944405367,
0.0049,1.0609381458897222,
0.00495,1.055681524885509,
0.005,1.0479174042943171,
0.00505,1.0381745464345822,
0.0051,1.0270519195904817,
0.00515,1.0151847183714078,
0.0052,1.0032104419246743,
0.00525,0.9917367314159676,
0.0053,0.981312485738598,
0.00535,0.9724035257148218,
0.0054,0.9653737782695045,
0.00545,0.9604726209709382,
0.0055,0.9578286823687279,
0.00555,0.9574500528164525,
0.0056,0.9592305408365915,
0.00565,0.9629613264618191,
0.0057,0.9683471276322942,
0.00575,0.9750258178017737,
0.0058,0.9825903181728508,
0.00585,0.9906115387157353,
0.0059,0.9986611571825943,
0.00595,1.006333100398391,
0.006,1.0132627200998279,
0.00605,1.0191428271494347,
0.0061,1.0237359520430616,
0.00615,1.0268824242017112,
0.0062,1.0285040951756257,
0.00625,1.0286037594537145,
0.0063,1.0272605398041847,
0.00635,1.024621692104921,
0.0064,1.0208914393988369,
0.00645,1.016317560490635,
0.0065,1.0111765311456684,
0.00655,1.0057580445712442,
0.0066,1.0003497233566505,
0.00665,0.9952227805329814,
0.0067,0.9906192978386116,
0.00675,0.9867416710801813,
0.0068,0.9837446331837657,
0.00685,0.9817301133025406,
0.0069,0.9807450335503006,
0.00695,0.9807819916964107,
0.007,0.9817826359904035,
0.00705,0.983643413715864,
0.0071,0.9862232733903762,
0.00715,0.9893528255758259,
0.0072,0.9928444213301292,
0.00725,0.9965025911216251,
0.0073,1.0001342997125044,
0.00735,1.0035585118630586,
0.0074,1.0066146262634283,
0.00745,1.0091694164374747,
0.0075,1.0111222123588113,
0.00755,1.01240815964335,
0.0076,1.0129994988044542,
0.00765,1.0129049097302987,
0.0077,1.012167061271785,
0.00775,1.0108585882922954,
0.0078,1.009076785261808,
0.00785,1.006937353993719,
0.0079,1.0045675719920208,
0.00795,1.0020992567345361,
0.008,0.9996618907257296,
0.00805,0.9973762439070719,
0.0081,0.9953487864147182,
0.00815,0.9936671287629109,
0.0082,0.9923966617972378,
0.00825,0.9915784989453842,
0.0083,0.9912287521835634,
0.00835,0.991339104379252,
0.0084,0.9918785775902919,
0.00845,0.9927963423529682,
0.0085,0.9940253692467043,
0.00855,0.9954866926816557,
0.0086,0.9970940388070542,
0.00865,0.998758564854815,
0.0087,1.0003934656006988,
0.00875,1.0019182228078303,
0.0088,1.0032623038473398,
0.00885,1.0043681540832918,
0.0089,1.00519337168895,
0.00895,1.0057120007993736,
0.009,1.005914926752971,
0.00905,1.0058094031939087,
0.0091,1.0054177827866584,
0.00915,1.0047755593473136,
0.0092,1.003928857839424,
0.00925,1.0029315288852663,
0.0093,1.0018420156579577,
0.00935,1.0007201631789953,
0.0094,0.9996241335416339,
0.00945,0.9986075762188185,
0.0095,0.9977171815510925,
0.00955,0.9969907191739898,
0.0096,0.9964556331506976,
0.00965,0.9961282336336827,
0.0097,0.9960134927013431,
0.00975,0.9961054212325327,
0.0098,0.9963879757628756,
0.00985,0.9968364204567235,
0.0099,0.9974190505968049,
0.00995,0.9980991710006603,
0.01,0.9988372158545209,
0.01005,0.9995928956232674,
0.0101,1.000327261654884,
0.01015,1.0010045892799846,
0.0102,1.0015939948112365,
0.01025,1.0020707198954724,
0.0103,1.002417037065732,
0.01035,1.0026227519267945,
0.0104,1.0026852990353967,
0.01045,1.0026094491161166,
0.0105,1.0024066638096552,
0.01055,1.0020941498613571,
0.0106,1.0016936768920426,
0.01065,1.0012302312279642,
0.0107,1.000730582498686,
0.01075,1.0002218398550118,
0.0108,0.9997300709325955,
0.01085,0.9992790494916898,
0.0109,0.9988891875529602,
0.01095,0.9985766954926046,
0.011,0.9983529997022886,
0.01105,0.9982244328399656,
0.0111,0.998192197169029,
0.01115,0.9982525877327155,
0.0112,0.9983974497862127,
0.01125,0.9986148345510132,
0.0113,0.9988898093765026,
0.01135,0.9992053730620654,
0.0114,0.9995434245307343,
0.01145,0.9998857332282338,
0.0115,1.000214862388272,
0.01155,1.000515001374224,
0.0116,1.000772670296921,
0.01165,1.0009772685607294,
0.0117,1.0011214483998685,
0.01175,1.0012013043082075,
0.0118,1.0012163790201958,
0.01185,1.001169495882768,
0.0119,1.0010664356382244,
0.01195,1.000915482460554,
0.012,1.0007268692846365,
0.01205,1.0005121558679588,
0.0121,1.0002835745563257,
0.01215,1.000053378414867,
0.0122,0.9998332243508323,
0.01225,0.999633620292808,
0.0123,0.9994634606654882,
0.01235,0.9993296686223172,
0.0124,0.9992369571130745,
0.01245,0.9991877142242886,
0.0125,0.9991820116849186,
0.01255,0.9992177293017491,
0.0126,0.9992907826632899,
0.01265,0.9993954369614646,
0.0127,0.9995246864008729,
0.01275,0.9996706765043905,
0.0128,0.9998251457225683,
0.01285,0.999979863088356,
0.0129,1.0001270401430522,
0.01295,1.0002596978558782,
0.013,1.0003719725867952,
0.01305,1.0004593490870186,
0.0131,1.000518812861751,
0.01315,1.0005489186960839,
0.0132,1.0005497765347457,
0.01325,1.0005229599936452,
0.0133,1.0004713463772466,
0.01335,1.0003989000272193,
0.0134,1.0003104130218055,
0.01345,1.0002112186135854,
0.0135,1.0001068933126747,
0.01355,1.0000029632136895,
0.0136,0.9999046290893377,
0.01365,0.9998165230276718,
0.0137,0.9997425070986771,
0.01375,0.999685521844216,
0.0138,0.9996474894508448,
0.01385,0.9996292734485221,
0.0139,0.9996306938358493,
