Frequency,DB(MAG(V(out))),PHDEG(V(out))
100,19.99951491,179.957546
158.4893192,19.99951131,179.932715
251.1886432,19.99950228,179.8933605
398.1071706,19.99947957,179.830988
630.9573445,19.99942254,179.7321353
1000,19.99927929,179.5754677
1584.893192,19.99891948,179.3271802
2511.886432,19.99801581,178.9337263
3981.071706,19.99574673,178.3103641
6309.573445,19.99005229,177.3232769
10000,19.97578133,175.7623223
15848.93192,19.94013978,173.3020881
25118.86432,19.85188154,169.4563538
39810.71706,19.63778916,163.5636534
63095.73445,19.14241173,154.9388599
100000,18.1017044,143.4494209
